Symbol	Name	USSymbol	Sector	OTC
ACL:TSXV	ACL International Ltd.		Oil & Gas	OTCQX
AAV:TSX	Advantage Oil & Gas Ltd.	AAV:US	 Oil & Gas 	 NYSE
AEZ:TSX	AEterna Zentaris Inc.	AEZS:US	 Life Sciences 	 NasdaqGM
AOI:TSX	Africa Oil Corp.		 Oil & Gas 	 OMX Nordic Exchange
AEM:TSX	Agnico Eagle Mines Limited	AEM:US	 Mining 	 NYSE
AGU:TSX	Agrium Inc.	AGU:US	 Mining 	 NYSE
ALP:TSXV	Alabama Graphite Corp.		Mining	OTCQX
ASR:TSX	Alacer Gold Corp.		 Mining 	 ASX
AGI:TSX	Alamos Gold Inc.	AGI:US	 Mining 	 NYSE
ADV:TSX	Alderon Iron Ore Corp.	AXX:US	 Mining 	 NYSE MKT
AXR:TSX	Alexco Resource Corp.	AXU:US	 Mining 	 NYSE MKT
AMM:TSX	Almaden Minerals Ltd.	AAU:US	 Mining 	 NYSE MKT
ALT:TSXV	Alturas Minerals Corp.		Mining	LIMA (BVL)
AHR:TSXV	Amarc Resources Ltd.		Mining	OTCQB
AYA:TSX	Amaya Inc.	AYA:US	 Technology 	 NasdaqGM
MLY:TSXV	American CuMo Mining Corporation		Mining	OTCQX
HOT.UN:TSX	American Hotel Income Properties REIT LP		 Real Estate 	 OTCQX
AVC:TSXV	American Vanadium Corp.		Mining	OTCQX
ARG:TSX	Amerigo Resources Ltd.		 Mining 	 Lima (BVL)
ARG:TSX	Amerigo Resources Ltd.		 Mining 	 OTCQX
AAU:TSXV	AndeanGold Ltd.		Mining	LIMA (BVL)
APY:TSX	Anglo Pacific Group PLC		 Mining 	 LSE
AE:TSXV	Anterra Energy Inc.		Oil & Gas	OTCQX
ATE:TSXV	Antibe Therapeutics Inc.		Life Sciences	OTCQX
AGD:TSXV	Antioquia Gold Inc.		Mining	OTCQX
AEN:TSXV	Antrim Energy Inc.		Oil & Gas	AIM
APS:TSX	Aptose Biosciences Inc.	APTO:US	 Life Sciences 	 NasdaqCM
AQM:TSXV	AQM Copper Inc.		Mining	LIMA (BVL)
AQA:TSX	Aquila Resources Inc.		 Mining 	 OTCQX
AGQ:TSXV	Arian Silver Corporation		Mining	AIM
A:TSXV	Armor Minerals Inc.		Mining	LIMA (BVL)
ARW:TSXV	Aroway Energy Inc.		Oil & Gas	OTCQX
AEI:TSX	Arsenal Energy Inc.		 Oil & Gas 	 OTCQX
AKG:TSX	Asanko Gold Inc.	AKG:US	Mining	 NYSE MKT
ARS:TSXV	Asiamet Resources Limited		Mining	AIM
ATG:TSXV	Atlanta Gold Inc.		Mining	OTCQX
AGB:TSXV	Atlantic Gold Corporation		Mining	ASX
ATP:TSX	Atlantic Power Corporation	AT:US	 Clean Technology 	 NYSE
ATL:TSX	Atlatsa Resources Corporation		 Mining 	 NYSE MKT
ATL:TSX	Atlatsa Resources Corporation		 Mining 	 JSE
AUN:TSXV	Aurcana Corporation		Mining	OTCQX
AUE:TSX	Aureus Mining Inc.		 Mining 	 AIM
AUP:TSX	Aurinia Pharmaceuticals Inc. J	AUPH:US	 Life Sciences 	 NasdaqGM
AUG:TSXV	Auryn Resources Inc.		Mining	OTCQX
AVL:TSX	Avalon Rare Metals Inc.	AVL:US	 Mining 	 NYSE MKT
ASM:TSXV	Avino Silver & Gold Mines Ltd.		Mining	NYSE MKT
BTO:TSX	B2Gold Corp.	BTG:US	 Mining 	 OTCQX
BAJ:TSXV	Baja Mining Corp.		Mining	OTCQB
BLD:TSX	Ballard Power Systems Inc.	BLDP:US	 Clean Technology 	 NasdaqGM
BAR:TSX	Balmoral Resources Ltd.		 Mining 	 OTCQX
BMO:TSX	Bank of Montreal	BMO:US	 Financial Services 	 NYSE
BNS:TSX	Bank of Nova Scotia (The)	BNS:US	 Financial Services 	 NYSE
BNK:TSX	Bankers Petroleum Ltd.		 Oil & Gas 	 AIM
BAN:TSX	Bannerman Resources Limited		 Mining 	 ASX
BAA:TSX	Banro Corporation	BAA:US	 Mining 	 NYSE MKT
ABX:TSX	Barrick Gold Corporation	ABX:US	 Mining 	 NYSE
BTE:TSX	Baytex Energy Corp.	BTE:US	 Oil & Gas 	 NYSE
BCE:TSX	BCE Inc.	BCE:US	 Comm & Media 	 NYSE
BXE:TSX	Bellatrix Exploration Ltd.	BXE:US	 Oil & Gas 	 NYSE MKT
BTI:TSXV	biOasis Technologies Inc.		Life Sciences	OTCQX
BB:TSX	BlackBerry Limited	BBRY:US	 Technology 	 NasdaqGM
PXX:TSX	BlackPearl Resources Inc.		 Oil & Gas 	 OMX Nordic Exchange
BBD.B:TSX	Bombardier Inc.		 Diversified Industries 	 OTCQX
BXO:TSX	Boulder Energy Ltd.		 Oil & Gas 	 OTCQX
BHT:TSXV	Braveheart Resources Inc.		Mining	OTCQX
BRI:TSXV	Brazil Resources Inc.		Mining	OTCQX
BAM.A:TSX	Brookfield Asset Management Inc.	BAM:US	 Financial Services 	 NYSE
BOX.UN:TSX	Brookfield Canada Office Properties	BOXC:US	 Real Estate 	 NYSE
BIP.UN:TSX	Brookfield Infrastructure Partners L.P.	BIP:US	 Diversified Industries 	 NYSE
BPO.PR.A:TSX	Brookfield Office Properties Inc.		 Real Estate 	 NYSE
BPY.UN:TSX	Brookfield Property Partners L.P.	BPY:US	 Real Estate 	 NYSE
BEP.UN:TSX	Brookfield Renewable Energy Partners L.P.	BEP:US	 Clean Technology 	 NYSE
BUF:TSX	Buffalo Coal Corp.		 Mining 	 JSE
BU:TSX	Burcon NutraScience Corporation	BUR:US	 Clean Technology 	 NasdaqGM
